,Date,User,Tweet
81,2023-02-14 15:10:36+00:00,jourjuillet,AFTER ALL THIS BADAI TOPAN ANGIN PUTING BELIUNG BISMILLAH DULU INSYAA ALLAH 💜🥹🫶🏻
82,2023-02-14 10:55:28+00:00,KediriFess,cah info daerah kras ngadiluwih maeng enek puting beliung to?
83,2023-02-14 09:37:00+00:00,nabilabettavita,cuaca bandung bisa cerah terang benderang ga sih. capek hujan mendung tiap hari. mana angin udah kyk puting beliung. ga ilang2 flu gue gara2 lo pade
84,2023-02-14 08:06:27+00:00,508926,ih serem banget rumah mama ada puting beliung
85,2023-02-14 05:00:37+00:00,masbian_,Ngerokok di smoking area kantor udah kayak kena angin puting beliung
86,2023-02-13 23:15:22+00:00,rangerciiscake,"yok selamat pagi yo, dis is ultramen kece badai tsunami gempa puting beliung
jangan lupa ngevote yo, bilang pagi pagi doang, tapi ingetin vote juga yo, ini gue baru melek yoo langsung cus hp yo, jgnn yari masalah search hater mulu yo, masalahnya kita udh banyak masalah  yo"
87,2023-02-13 18:22:48+00:00,pembasmikecoa,"Muntah te muntah begah kayak ade puting beliung dalam perot, pala mutar mutar, kemaren berak sampe 8x, saket ape ni, tolonggg laaa, jiwa miskin aku meronta ni, jangan saket"
88,2023-02-13 15:33:14+00:00,Mas2JawaBiasa,"Kerokan udah, Minum jamu masuk angin puting beliung tornado udah, bengong kaga jelas juga udah
Wes gek wayahe mapan turu sesok kudu menghadapi edannya dunia tipu² lagi 🥱"
89,2023-02-13 15:15:03+00:00,aiikims,"Gw keren bgt deh udah berapa kali kena hujan, diterpa badai, puting beliung, tapi ga flu demam. Tapi lebih ke pusing mual dan 5L Lesu Lemah Letih Lelah Lunglai~"
90,2023-02-13 13:50:33+00:00,yourayang12,bakalan ada pelangi setelah badai hujan puting beliung ini kan Ya Allah?
91,2023-02-13 13:19:01+00:00,ninditautamii,Hah ini tetangga desa kena angin puting beliung? Pantesan anginnya serem banget tadi sore😭
92,2023-02-13 08:44:30+00:00,UDUNZFMAS,mantap akibat angin puting beliung asbes rumah saya terbaaang
93,2023-02-13 07:57:08+00:00,salmonarctic,puting beliung 🥶
94,2023-02-13 04:07:38+00:00,solpesol,"Angin di margonda kenapa kaya puting beliung sih, kenceng banget 😭😭"
95,2023-02-13 04:07:16+00:00,alyakim_16,Sumpah hujan dari subuh terus anginnya kenceng bgt kayak puting beliung 🌫️🌬️🌪️🌧️🌧️🌧️
96,2023-02-13 03:10:24+00:00,cityreuv,Guru mtk walau hujan badai banjir puting beliung tetap masuk
97,2023-02-12 23:49:48+00:00,4evertbz_,"Buset dah dari subuh hujan,nambah petir lagi😳
Yang bikin takut kenapa bunyi anginnya kenceng kek puting beliung sih????😭😭"
98,2023-02-12 22:54:14+00:00,syukajeghiang,"Kan kan kan, gitu kan, giliran aing yg butuh kagak ada tuh yg fast respon secepat kilat badai angin puting beliung. skalinya fast respon malah belom digarap Halah pasrah kye Tah😊"
99,2023-02-12 13:43:38+00:00,RitaSunart76,Emang si kumis si jenggot si bule si una anu bisaeun teh ngamuk bumi berguncang. Kesel puting beliung. Bacot guludug. Prettttt
100,2023-02-12 07:07:12+00:00,rindouhaaitani,masa kata mak gue semalem ada angin puting beliung 😃 kok gue ga ngerasa
101,2023-02-12 06:46:53+00:00,gogonimi,angin puting beliung jadi buah ternyata angin puting belimbing
102,2023-02-12 05:42:32+00:00,nakiyasdf,YAALLAH PUTING BELIUNG WOY😭
103,2023-02-12 02:00:48+00:00,rizkinabcdelf,"Saking derasnya angin tadi malam, sampe mimpi api di mana-mana, angin puting beliung di mana-mana, sampe ledakan-ledakan.
Sampe lagi gendong F, teriak ""astaghfirullah, ini sih kiamat.""
Terus bangun-bangun masih kaget, ternyata masih hidup."
104,2023-02-11 15:55:43+00:00,mhid2512,Keikhlasan jauh lebih penting dari keteladanan. Dan menjadi teladan biasanya cendrung seperti angin puting beliung ketika centrum pusaran tidak sedang dalam orbit yg sesui.
105,2023-02-11 14:44:41+00:00,bryan_newbie,"Walah.. baru puting
beliung aja udah kaya
gitu,gimana kalau udel
beliung, apalagi udellle
buodong."
106,2023-02-11 12:07:25+00:00,hazirahamdan_,"Bila mahira takde rindu, bila dia ada nak dia balik cepat sebab rumah macam kena landa puting beliung"
107,2023-02-11 08:25:54+00:00,clovdy00_,"Byl yg idolnya diterjang badai, hujan deras, angin topan, dan puting beliung masih kokoh berdiri. Ini cuma kena tiup mulut bayi langsung kecewa bahkan ‘close’. Ck ck ck mental yupi 🌝🌝"
108,2023-02-11 06:36:56+00:00,apomon_,"Gue harap apo kayak mile. Ada ujan halilintar, angin puting beliung, gempa bumi pun dia tetep genjreng gitar alias gak peduli sama apapun yg terjadi. 

Kalopun dibelakang ada yang nyuruh (krn biasanya po dijadiin damage control) gue ttp marah krn po gak mau nolak."
109,2023-02-11 05:09:59+00:00,Catatan_ali7,"Kenapa Dinamakan ANGIN PUTING BELIUNG ? 

Padahal kan Gak ada Puting nya 🙄"
110,2023-02-11 02:16:56+00:00,RRIPrograma3,"Sedang berlangsung dialog bersama Wijonardi– Kepala Pelaksana Badan Penanggulangan Bencana (BPBD) Kabupaten Cilacap. Yg membahas tentang “RATUSAN BANGUNAN RUSAK AKIBAT ANGIN PUTING BELIUNG YANG MELANDA CILACAP “. dipandu oleh Amira . Dengarkan di 88.8 FM,RRIPlayGo&amp;RRINet 

-AJ"
111,2023-02-10 12:20:07+00:00,ahndaengnim,"kalo inget gempa, jd mikir nanti kalo bangun rumah mending dr bilik aja, gpp gak usah gengsi yg penting keselamatan. tapi setelah dipikir2 lagi, kalo ada angin puting beliung bisa abis juga 😭"
112,2023-02-10 01:18:32+00:00,alfanadiah1,"Debat sama orang gak tau = debat sama pohon = debat sama batu

Debat sama orang sok tau = debat sama angin puting beliung badai gempa bumi"
113,2023-02-09 15:57:13+00:00,inisandyyyy,rekor sehari minum 8 tolak angin maklum yang masuk angin puting beliung
114,2023-02-09 15:24:38+00:00,ohyvnjin,React the sound isinya cuma oo wow oo wow bagus bangetttt. beda dari biasanya. Apalagi part bangchan ngedrum sama gemuruh2 puting beliung like wow????
115,2023-02-09 15:09:56+00:00,linoboba,MVNYA CAKEPPP tp ak tuh selalu pengen ngakak liat angin puting beliung di mvnya ih 😭
116,2023-02-09 08:12:00+00:00,99JHNNY,oh iyaa aslii tadii siang sekitar jam 11an anginnya kenceng bangett astagaa nyampee gue kiraa bakalan ada puting beliung karna saking kencengnya 😭😭 tapii untung aja nggaa siee
117,2023-02-09 07:10:20+00:00,this_is_naaa,"tadi pas angin lagi kenceng2nya ada anak sd lagi olahraga di lapangan, ibu2 istigfar ketakuan angin kenceng, bocil malah bilang ""hahahah wiiihhh wiihh angin puting beliung hahahhaha"" sambil lari2an 🙃🙃"
118,2023-02-09 06:06:43+00:00,KhrlUmaaam,"Ada apasih dunia? Kok bangun bangun pohon tumbang, angin puting beliung, hujan badai si"
119,2023-02-09 05:31:24+00:00,txtndorokanjeng,"Depok puting beliung. Pohon, tiang listrik, dan papan reklame berhamburan di atas aspal. Banyak gardu listrik meleduk."
120,2023-02-09 05:07:16+00:00,Ryujnwins,Gileee angin puting beliung
121,2023-02-09 04:34:35+00:00,shrtbreak_,Angin puting beliung kah? Ngeri banget ini
122,2023-02-09 04:31:19+00:00,salwaslablla,tadi dikelas ada yg teriak dari bawah angin puting beliung reflek langsung ke lapangan ngecek angin nya emang kayak buat putaran gitu. tong sampah juga ikut jatuh
123,2023-02-09 04:29:44+00:00,lyyynnnn5,anginnya kenapa kaya angin puting beliung sih mana gua lagi di jalan
124,2023-02-09 04:19:59+00:00,KEIT4LENT,ngery bgt di sklh w masa katanya ad puting beliung sampe bikin tembok roboh 😓😓
125,2023-02-09 04:19:08+00:00,SitimahdaLena7,"Gais angin di Jabodetabek kenceng banget ngga si serem ke angin puting beliung
#angin"
126,2023-02-09 04:16:46+00:00,scenetilla,hifhfufhfufhu trauma anginnya kenceng bgt kaya puting beliung waktu itu
127,2023-02-09 04:15:18+00:00,dindapratika,"Astagfirullah anginnya kenceng banget, denger2 info ada puting beliung di perum dukuh zamrud 😢"
128,2023-02-09 04:14:23+00:00,trinnity69,"Angin puting beliung nya barusan lewat. Tadi dari rumah terus ke sekolah, sekarang ke arah mana ya?"
129,2023-02-09 04:14:17+00:00,ebot2301,Bekasi dengan puting beliung siang ini
130,2023-02-09 04:11:43+00:00,aisehhhhh,"ni angin puting beliung apa gmn, di luar kos bunyinya gedebg gedebug"
131,2023-02-09 04:11:32+00:00,tteungwooniya,"Ini cikarang puting beliung apa gmn…takut banget, naik mobil aja sampe goncang"
132,2023-02-09 04:11:27+00:00,sedikitcina,Puting beliung kaah???
133,2023-02-09 04:06:24+00:00,Tangoyummy,"baru banget bangun, hujan deres angin kata emak udah kyk puting beliung, banyak yg terlewatkan di twiceland misamo mini album, twice katanya mau konser, apalagi"
134,2023-02-09 04:05:30+00:00,adorkablejoon,ini bekasi puting beliung ya? serem bgt anginnya
135,2023-02-09 04:03:30+00:00,prozven,Anjrit angin puting beliung lewat depan rumah gw
136,2023-02-09 03:56:29+00:00,bukanshampodidi,"Anginya kenceng bgt kaya puting beliung, sampe antena pada patah 😭😭"
137,2023-02-09 03:56:25+00:00,rkiveartics,"bogor puting beliung skitar jam 10:36 - 10:50an, langsung mati lampu 😔 kagett mana baru bangun tidur."
138,2023-02-09 03:56:22+00:00,taurecans,Astaghfirullah kek puting beliung
139,2023-02-09 03:54:40+00:00,shadafy,Kek puting beliung ajg angin nya
140,2023-02-09 03:54:29+00:00,ylanalogy,Ini puting beliung lewat kali ya di lebak bulus serem banget😩
141,2023-02-09 03:54:02+00:00,jaadddahh,serem bgt woii anginnya kaya angin puting beliung
142,2023-02-09 03:48:34+00:00,fidafins,Angin kenceng banget kirain puting beliung
143,2023-02-09 03:48:10+00:00,reifflepuff,eh angin puting beliung
144,2023-02-09 03:47:55+00:00,sowryimhappy,di Bogor ad angin puting beliung
145,2023-02-09 03:45:20+00:00,heyjepiw,"lagi tidur kebangun sama suara aneh tapi gede banget kek suara bangunan roboh. taunya suara angin saking kencengnya. ini daerah gw kenapa sering angin puting beliung ya. serem bgt ngeliat dari kaca, genteng orang pada terbang. 😭"
146,2023-02-09 03:44:31+00:00,slstyn_,Takut bgt anginnya kyk angin puting beliung 😭
147,2023-02-09 03:44:22+00:00,kebablazt,Depok oh depok kenapa kamu Depok. Lagi anteng2 tbtb angin puting beliung.
148,2023-02-09 03:44:09+00:00,402mrq,tb tb puting beliung gini di depok
149,2023-02-09 03:42:45+00:00,wsstyls,PUTING BELIUNG YAALLAH SEREM BANGET 😭
150,2023-02-09 03:39:51+00:00,annisavioo,takut bgt ini depok hujan angin kenceng bgt kek puting beliung
151,2023-02-09 03:39:18+00:00,Arma_Anyway,woy Depok puting beliung kah 😭😭 demi kenceng bgtttt anginnyaaa
152,2023-02-09 03:39:07+00:00,nieuwejeans,Depok anginnya kenceng banget kayak ada puting beliung sumpah takut
153,2023-02-09 03:39:04+00:00,ussiiyy,"depok lagi puting beliung ni gais ,kenceng bgt suara anginnya,hati2 dijalan🤟🏻"
154,2023-02-09 03:34:51+00:00,lavamilochoco,"sumpah gelap bgt dsni abis angkat jemuran😭 trus anginnya kenceng bgt kirain mau puting beliung nangis bgtt:"") mana gaada org asw"
155,2023-02-08 20:23:26+00:00,alyashabrina21,"baru kali ini mimpi banyak pov kena angin puting beliung. dari jadi anak jerapah, jadi mba mba di rumah, udah gt cuma muter muter doang"
156,2023-02-08 12:24:19+00:00,dyhindahn,Always wifi kosan tercinta kalo abs ujan petir badai halilintar puting beliung tsunami gunung meletus lngsung mengsol sinyalnya pdhl lg serius ngerjain 😤
157,2023-02-08 12:18:47+00:00,doyxinhogii,dri api skrng angin puting beliung + petir yakk keren emng
158,2023-02-08 11:00:33+00:00,stup00dPeeps,"org gila, gue roll belakang kaya masuk ke pusaran angin puting beliung bgstt"
159,2023-02-08 09:45:15+00:00,cici_clicy,Hah sleman puting beliung??
160,2023-02-08 06:44:40+00:00,bryan_newbie,"Walah.. baru puting
beliung aja udah kaya
gitu,gimana kalau udel
beliung, apalagi udellle
buodong."
161,2023-02-08 00:46:38+00:00,milevanillado,"gue semalem mimpi lagi di pantai trus batiba ada angin puting beliung trus aku lari berlindung trus batiba ada nana lari bareng aku trus pas uda di tempat yg aman, aku dipeluk dia:)"
162,2023-02-08 00:15:23+00:00,sonorafmjogja,#SelamatPagiJogja | Tribun Jogja : Gemuruh Angin Seperti Ombak. Lima Rumah Warga Kalibawang Rusak Akibat Terjangan Puting Beliung
163,2023-02-07 22:22:54+00:00,AngeloIdnef,"Gini ya.. se absurd-absurdnya kita (Para Manusia) Jangan Pernah Bertanya-tanya Kalau Puting Beliung Itu Copot dari Susunya siapa ? Terus yang sebelah mana ? Inget,, jangan pernah.. jangan pernah.. Pernah Aja."
164,2023-02-07 17:34:08+00:00,issamaruuu,serem bgt ujannya ya allah beneran kyk angin puting beliung dr kamar kedengeran anginnya kenceng bgt😭😭😭 ampe selesai anginnya lewat tetangga depan rumah gua pada keluar semuaa kren tadi ada suara besi2 yg terbangg tapi amannn cuma baru pertama kali seumur hidup gua denger itu
165,2023-02-07 16:23:23+00:00,ajrngsang,kenapa ini kipas kayak angin putingbeliung
166,2023-02-07 16:15:28+00:00,baru_poni,"Warga amarilis dikasi mleyotttt, baper, senyamsenyum ampe gigi kering.... persiapan besok bakalan mau ada angin badai puting beliung.. 😢😢
#TakdirCintaYangKupilih"
167,2023-02-07 12:32:39+00:00,Ridwan_RM_,"Suatu hari ada angin puting beliung yang dahsyat, rumah2 rata dengan tanah tetapi anehnya ada sebuah warung yang masih berdiri de #D1b25527"
168,2023-02-07 03:21:24+00:00,syarosdin,"6 hari on leave, pastu hari ni masuk office dah macam puting beliung meja ni. mende dooooooooooooooo"
169,2023-02-06 06:02:29+00:00,todayis_ndy,Yaallah angin puting beliung 🥺
170,2023-02-05 22:30:38+00:00,g9717n,"gua harus tetap mandi walau harus diterjang hujan angin, badai, dan puting km (gak) puting beliung dan bergetar kedinginan"
