,Date,User,Tweet
64,2023-02-27 00:24:18+00:00,teguh_stevege,selamat MU atas awal dr tsunami tropinya
65,2023-02-27 00:22:39+00:00,blessmeluck4win,tsunami trending.. Hamdallah bukan tsunami yg enoh 😭
66,2023-02-27 00:22:27+00:00,sptnfzn_,"tsunami trophy nyata adanya ges, uwww sangat amat mengeriwkan"
67,2023-02-27 00:18:30+00:00,kevinvinbrian,"Oh ada yang siap” kena tsunami , mangkanya ramee"
68,2023-02-27 00:15:09+00:00,noweah_ho,Geblek banget tagarnya gua kita tsunami beneran 😑
69,2023-02-27 00:12:24+00:00,pusatherbalcom,"Good morning semuanya harap bersabar jika senin pagi ini macet dan banjir ya

Senin Pagii Evos Hujan hailey ALLAHUMMA LAKASUMTU Banjir Tsunami Jeff Purel jhope Agnes GGMU"
70,2023-02-27 00:09:58+00:00,novelhndr,gelombang awal tsunami trofi itu benar terjadi
71,2023-02-27 00:01:11+00:00,ezadavincii,"Diam bukan berarti tidak tahu , tersenyum hanya karna tidak perlu melihat individu yang baru saja mengarungi lautan menggunakan kano . Ketika saya sudah melewati tsunami dan tenggelam lalu selamat ."
72,2023-02-26 23:54:58+00:00,lovpedrrrr,emyu ama tenhag kayaknya beneran bakal tsunami trophy 🫢
73,2023-02-26 23:54:52+00:00,hrzsmsi,Nampaknya kena beli kabinet baru. Tsunami trophy incoming huhuhu
74,2023-02-26 23:51:53+00:00,zempoyongan,geng sebelah lg seneng grgr tsunami trophy
75,2023-02-26 23:50:15+00:00,Dedew44226284,"Jangan cuma tau tsunami dari film-film Hollywood yang berlebihan ya! Coba cari tahu fakta-fakta tentang bagaimana tsunami terjadi dan cara-cara mencegahnya.
#factcheck"
76,2023-02-26 23:44:14+00:00,ilalarinal,"Breaking news 🚨 
Telah terjadi gempa di kota manchester dan berpotensi tsunami"
77,2023-02-26 23:40:04+00:00,smilinglungs,Tsunami trophy trending wkwk aamiin
78,2023-02-26 23:36:36+00:00,wikupa27,"trending tsunami tk kiro bencana, tibakno tsunami e si botak terkuat di bumi 🤣"
79,2023-02-26 23:30:21+00:00,ameliandss,Ternyata tsunami tropi beneran adanya😭
80,2023-02-26 23:21:21+00:00,eckyali,Selamat king emyu. Mungkin benar ini awal mula tsunami trofi 👍
81,2023-02-26 23:16:23+00:00,AkhdanRafif13,Beneran tsunami trofi dong
82,2023-02-26 23:13:13+00:00,summerdepressio,tsunami trending tapi bukan karena literal tsunami wkwkwkwk
83,2023-02-26 23:11:46+00:00,byanaka_,"Di trending ada tsunami, cek satu2 lokasi tsunaminya dimana. Ternyata isinya soal emyu kabeh 😑"
84,2023-02-26 23:09:43+00:00,fthr1923,kayaknya bentar lagi ada tsunami tapi bukan bencana alam #GGMU #tsunamitropy #MUFC
85,2023-02-26 23:05:27+00:00,ngga_nggak,"Wanyir, tim sebelah lagi keluar goa, muncul d story2, dengan kepsyem otw tsunami trophy 😅"
86,2023-02-26 22:55:54+00:00,afureteiru,"trending tsunami kirain tsunami beneran, ternyata tsunami trophy king emyu wkwkw"
87,2023-02-26 22:47:32+00:00,fdlhrmdhn,tanda-tanda awal tsunami tropi king MU mulai keliatan
88,2023-02-26 22:38:06+00:00,akober_r,"Info otw tsunami tropi
#GGMU"
89,2023-02-26 22:36:25+00:00,bukanrajasalman,Berpotensi Tsunami🧐
90,2023-02-26 22:34:54+00:00,ismoyolife,"anjing lah, pengen nonton king emyu tsunami trofi malah ketiduran, tai tai"
91,2023-02-26 22:22:53+00:00,masazim_,"Katanya piala ciki, tp kok langsung bilang tsunami trofi. Kan piala utama belum kelar🤣"
92,2023-02-26 22:20:34+00:00,L_awliet18,sudah waktunya tsunami trophy
93,2023-02-26 22:16:01+00:00,ommdickk,"Aku udah dan lagi ngalami fase² ini:
Sekolah, dimana MU dan Chelsea sama² bersaing dan sama² GG
Kuliah, dimana MU lagi puasa dan Chelsea lagi kangen rasanya gak juara
Kerja, dimana MU lagi ngrasain tsunami dan Chelsea berasa kayak kandang babi"
94,2023-02-26 21:59:55+00:00,naniii2607,"Moodbooster bgtt liat meme kebahagiaan fans emyu, the real tsunami trophy is about to happen kah 🥹😭"
95,2023-02-26 21:58:35+00:00,HardntyRukka,Terimakasih buat yg di awal musim banyak mendoakan tsunami trophy. Inget setiap perkataan adalah doa 🙏🏻
96,2023-02-26 21:53:24+00:00,iridoriscent,emyu tsunami trofi beneran kah
97,2023-02-26 21:51:16+00:00,dbtnvx,gak abis-abis ajg meme king emyu tsunami trophy lewat terus🥶🌊🏆
98,2023-02-26 21:29:34+00:00,amriferi20,getaran tsunami tropi emyu sampek kan tlogo ngeri ngeri
99,2023-02-26 21:27:44+00:00,briandptra,siap tsunami trophy #GGMU
100,2023-02-26 21:26:38+00:00,hendiPS,Tsunami trophy dimulai dengan piala chiki 🌊🏆
101,2023-02-26 20:54:51+00:00,herthoughtsfr,awili ela ghadi ikon tsunami f casa
102,2023-02-26 20:51:05+00:00,reddevils4ever_,"AKHIRNYA BUKA PUASA JUGA 😭🔴AWAL TSUNAMI TROFI IS REAL COYY
#GGMU"
103,2023-02-26 20:43:19+00:00,arsskko,Ada yg sudah mulai tsunami trophi
104,2023-02-26 20:35:24+00:00,fckupoldg,Getaran tsunami trofi sudah terasa...
105,2023-02-26 20:17:17+00:00,masmemeddd,"tolong @infoBMKG, udah ada 1 tanda tanda tsunami trofi dari MU 🙏🏻"
106,2023-02-26 20:13:29+00:00,sifenx_,Teori tsunami trophy itu nyata kh...
107,2023-02-26 19:59:30+00:00,dafdafdaff_____,MU siap tsunami trofiii
108,2023-02-26 19:43:49+00:00,_s0ursarty,"timeline saat ini penuh dg tsunami tropi emyu congrats 
Ten Haag masterclass 👍"
109,2023-02-26 19:39:04+00:00,GamasPrameidia,Malang anginnya kenceng bgt pertanda tsunami kah? MU Tsunami trophy
110,2023-02-26 19:35:37+00:00,thisisrais11,"⚠️ INFO CUACA BMKG ⚠️
Kota Manchester diprediksi akan diterjang tsunami trofi di daerah Old Trafford stadium!
@ManUtd"
111,2023-02-26 19:33:23+00:00,adodido,Apa benar gan emyuh tsunami trophy 😱
112,2023-02-26 19:33:20+00:00,Jonyvnbeukering,Awal dari tsunami trophy king #MUFC
113,2023-02-26 19:25:13+00:00,fqridarma_1,Berpotensi Tsunami🌊😜#MUFC
114,2023-02-26 19:23:41+00:00,0xyzii,apakah tsunami trophy itu nyata ?
115,2023-02-26 19:22:57+00:00,KikiAndilaID,Emyu tsunami tropy
116,2023-02-26 19:18:41+00:00,pemudaceriaaa,"rasanya mo nangis bisa lihat emyu angkat piala lagi, semoga tahun ini sesuai prediksi bmkg tsunami trophy.
As the reds go marching on on on! #GGMU❤️"
117,2023-02-26 19:18:15+00:00,rhicocacoIa,"KING EMYU DAH KEMBALI, SIAP SIAP TSUNAMI TROPHY!"
118,2023-02-26 19:17:30+00:00,jagoanneyoonnn,"Piala ciki adalah awal dari piala-piala berikutnya, Tanda2 tsunami trophy sudah mulai terlihat 😎🙏
#GGMU"
119,2023-02-26 19:16:27+00:00,Portgas21721855,Awal dari tsunami trofi👹👹👹🏆🏆 #GGMU
120,2023-02-26 19:15:26+00:00,ziadiqbaale,Siap siap tsunami trophy nihhh
121,2023-02-26 19:10:40+00:00,yogqs,BMKG mengabarkan bahwa kota manchester berpotensi tsunami🏆
122,2023-02-26 19:10:23+00:00,Afilgood21,"Akhirnya munyuk akhiri puasa gelar, otw tsunami trofi WKWKWK"
123,2023-02-26 19:10:09+00:00,ridwantebellum,"Tolong @infoBMKG untuk selalu waspada, karena sudah ada tanda tanda Tsunami Trophy Manchester United 😄"
